134089	2	0645	0910	D8-307
134090	2	0920	1145	D8-307
134091	6	0645	0910	D8-309
134092	6	0920	1145	D8-309
134099	3	1230	1455	D6-301
134100	3	1505	1730	D6-301
131622	5	1410	1730	D8-402
717469	3	0730	1145	C10-108B
717470	4	0730	1145	C10-108B
717471	5	0730	1145	C10-108B
133705	2	0645	1005	D8-311
133706	2	1015	1145	D8-311
133706	4	1015	1145	D8-311
133707	4	0645	1005	D8-311
133708	6	0645	1005	D8-311
716798	2	1230	1730	TTB4
716799	2	1230	1730	TTB4
716800	3	1230	1730	TTB4
716801	3	1230	1730	TTB4
716802	4	1230	1730	TTB4
716803	4	1230	1730	TTB4
716804	5	1230	1730	TTB4
716805	5	1230	1730	TTB4
716806	6	1230	1730	TTB4
716807	6	1230	1730	TTB4
131653	2	1230	1455	D6-302
716721	4	0730	1145	TTB4
716721	4	0730	1145	C4-5-301
716722	5	0730	1145	C4-5-301
716722	5	0730	1145	TTB4
716723	6	0730	1145	C4-5-301
716723	6	0730	1145	TTB4
133665	6	0825	1145	D9-103
133666	4	1015	1145	D9-103
133666	6	0645	0815	D9-103
716641	2	1230	1645	C10-108B
716642	3	1230	1645	C10-108B
716643	4	1230	1645	C10-108B
716644	5	1230	1645	C10-108B
716645	6	1230	1645	C10-108B
716646	5	0730	1145	C10-108B
716647	6	0730	1145	C10-108B
716648	2	0730	1145	C4-401A
716649	2	0730	1145	C4-401B
716650	3	0730	1145	C4-401A
716651	3	0730	1145	C4-401B
716652	4	0730	1145	C4-401A
716653	4	0730	1145	C4-401B
716654	5	0730	1145	C4-401A
716655	5	0730	1145	C4-401B
716656	6	0730	1145	C4-401A
716657	7	0730	1145	C4-401A
133678	4	0645	1005	D9-203
133679	4	1015	1145	D9-203
133679	6	0645	0815	D9-102
133680	6	0825	1145	D9-102
131655	6	1410	1730	D6-302
716631	2	1230	1645	C10-108A
716632	3	1230	1645	C10-108A
716633	4	1230	1645	C10-108A
716634	5	1230	1645	C10-108A
716635	6	1230	1645	C10-108A
716636	4	0730	1145	C10-108A
716637	5	0730	1145	C10-108A
716638	6	0730	1145	C10-108A
716639	7	1230	1645	C10-108A
716640	7	1230	1645	C10-108B
133689	5	1230	1455	TC-204
133690	5	1505	1730	TC-204
131656	5	1505	1730	D6-302
133691	3	1410	1550	D9-103
133692	3	1600	1730	D9-104
133693	3	1600	1730	D9-103
133694	3	1410	1550	D9-104
131560	4	0825	1005	D6-404
131558	4	0645	0815	D6-404
133695	2	1230	1455	D9-103
133696	2	1505	1730	D9-104
133697	6	1230	1455	D5-202
716727	2	0730	1145	C4-204
716727	3	0730	1145	C4-111
716727	5	0730	1145	C4-111
716728	3	0730	1145	C4-204
716728	4	0730	1145	C4-111
716728	6	0730	1145	C4-111
716729	4	0730	1145	C4-204
716729	3	0730	1145	C4-111
716729	5	0730	1145	C4-111
716730	5	0730	1145	C4-204
716730	4	0730	1145	C4-111
716730	6	0730	1145	C4-111
716731	6	0730	1145	C4-204
716731	3	0730	1145	C4-111
716731	5	0730	1145	C4-111
716732	7	0730	1145	C4-204
716732	4	0730	1145	C4-111
716732	6	0730	1145	C4-111
716733	2	0730	1145	C4-204
716733	3	0730	1145	C4-111
716733	5	0730	1145	C4-111
716734	3	0730	1145	C4-204
716734	4	0730	1145	C4-111
716734	6	0730	1145	C4-111
716735	4	0730	1145	C4-204
716735	3	0730	1145	C4-111
716735	5	0730	1145	C4-111
716736	5	0730	1145	C4-204
716736	4	0730	1145	C4-111
716736	6	0730	1145	C4-111
716737	6	0730	1145	C4-204
716737	3	0730	1145	C4-111
716737	5	0730	1145	C4-111
716738	7	0730	1145	C4-204
716738	4	0730	1145	C4-111
716738	6	0730	1145	C4-111
131559	5	0645	0910	D6-404
716744	5	1315	1730	C4-204
716744	4	1315	1730	C4-111
716744	6	1315	1730	C4-111
133701	3	1230	1400	D9-103
133701	4	1230	1400	D5-502
133702	3	1230	1400	D9-104
133702	4	1230	1400	D5-404
131654	2	1505	1730	D6-302
133672	3	0920	1100	D9-202
133673	5	0730	0910	D9-202
133674	5	0920	1100	D9-103
716669	2	1315	1730	C4-5-301
